file,parseTime,initTime,allCount,unknownCount,parseUPTime,initUPTime,allUPCount,unknownUPCount
fase-trainbenchmark-60_30.problem,176,621,869,265,295,1420,855,251
fase-trainbenchmark-60_4.problem,118,294,1015,385,122,555,972,342
fase-trainbenchmark-60_5.problem,261,648,859,232,416,1310,843,216
fase-trainbenchmark-60_6.problem,124,355,867,267,133,771,858,258
fase-trainbenchmark-60_7.problem,265,684,801,247,268,1444,792,238
fase-trainbenchmark-60_8.problem,106,293,929,229,107,538,924,224
fase-trainbenchmark-60_9.problem,165,464,1138,492,250,1304,1064,418
fase-trainbenchmark-70_1.problem,226,673,1055,259,275,1205,1043,247
fase-trainbenchmark-70_10.problem,154,415,1234,404,216,1123,1223,393
fase-trainbenchmark-70_11.problem,153,522,1167,360,187,828,1153,346
fase-trainbenchmark-70_12.problem,182,578,1144,319,278,1301,1136,311
fase-trainbenchmark-70_13.problem,290,647,1356,544,309,1357,1262,450
fase-trainbenchmark-70_14.problem,233,713,1143,379,226,1403,1132,368
fase-trainbenchmark-70_15.problem,254,1051,1144,374,234,1581,1112,342
fase-trainbenchmark-70_16.problem,266,768,1117,347,261,1382,1073,301
fase-trainbenchmark-70_17.problem,255,749,1115,314,294,1182,1088,287
fase-trainbenchmark-70_18.problem,194,449,1104,332,240,1031,1091,319
fase-trainbenchmark-70_19.problem,240,722,1346,621,243,1233,1252,527
fase-trainbenchmark-70_2.problem,167,423,1075,364,167,879,1053,342
fase-trainbenchmark-70_20.problem,144,443,1153,404,229,1073,1129,380
fase-trainbenchmark-70_21.problem,170,478,1149,359,175,810,1140,350
fase-trainbenchmark-70_22.problem,292,745,1062,311,208,1569,1054,303
fase-trainbenchmark-70_23.problem,216,733,1051,296,290,1235,1036,281
fase-trainbenchmark-70_24.problem,137,382,1170,387,136,650,1114,329
fase-trainbenchmark-70_25.problem,342,1140,1164,372,352,2107,1094,300
fase-trainbenchmark-70_26.problem,228,610,1083,300,263,1097,1054,271
fase-trainbenchmark-70_27.problem,179,563,1072,312,265,1091,1058,298
fase-trainbenchmark-70_28.problem,165,465,1080,333,177,863,1072,325
fase-trainbenchmark-70_29.problem,197,517,1182,354,287,909,1170,342
fase-trainbenchmark-70_3.problem,309,1061,1265,433,357,1936,1234,402
fase-trainbenchmark-70_30.problem,199,726,1168,412,270,1356,1139,383
fase-trainbenchmark-70_4.problem,320,1096,1115,337,308,1839,1091,313
fase-trainbenchmark-70_5.problem,204,472,1116,320,220,1264,1096,300
fase-trainbenchmark-70_6.problem,199,583,1046,311,295,1383,1024,289
fase-trainbenchmark-70_7.problem,230,645,1020,345,221,1291,999,324
fase-trainbenchmark-70_8.problem,278,701,1162,392,271,1248,1152,382
fase-trainbenchmark-70_9.problem,253,864,1185,388,378,1497,1133,334
fase-trainbenchmark-80_1.problem,215,880,1248,380,329,1859,1219,351
fase-trainbenchmark-80_10.problem,184,472,1382,468,240,1278,1354,440
fase-trainbenchmark-80_11.problem,297,843,1254,334,298,1449,1229,309
fase-trainbenchmark-80_12.problem,227,768,1410,512,187,1069,1394,496
fase-trainbenchmark-80_13.problem,288,766,1264,390,242,1415,1239,365
fase-trainbenchmark-80_14.problem,193,739,1260,397,272,1039,1242,379
fase-trainbenchmark-80_15.problem,271,497,1372,395,267,1167,1359,382
fase-trainbenchmark-80_16.problem,272,1115,1487,495,317,1813,1472,480
fase-trainbenchmark-80_17.problem,119,370,1340,476,139,621,1316,452
fase-trainbenchmark-80_18.problem,267,749,1258,390,198,987,1235,367
fase-trainbenchmark-80_19.problem,185,653,1771,911,159,1110,1564,704
fase-trainbenchmark-80_2.problem,277,546,1434,475,279,1558,1400,441
fase-trainbenchmark-80_20.problem,267,736,1406,504,264,1288,1369,467
fase-trainbenchmark-80_21.problem,291,787,1365,481,298,1406,1314,428
fase-trainbenchmark-80_22.problem,199,490,1301,400,225,1019,1271,370
fase-trainbenchmark-80_23.problem,177,805,1314,459,286,1338,1303,448
fase-trainbenchmark-80_24.problem,294,595,1293,369,273,1380,1252,328
fase-trainbenchmark-80_25.problem,270,710,1476,518,374,1572,1445,487
fase-trainbenchmark-80_26.problem,200,656,1174,278,258,1204,1153,257
fase-trainbenchmark-80_27.problem,204,502,1452,556,232,1109,1391,493
fase-trainbenchmark-80_28.problem,309,902,1398,461,301,1529,1381,444
fase-trainbenchmark-80_29.problem,284,812,1537,633,236,1077,1474,570
fase-trainbenchmark-80_3.problem,299,822,1353,456,302,1438,1328,431
fase-trainbenchmark-80_30.problem,290,757,1429,491,260,1493,1371,431
fase-trainbenchmark-80_4.problem,244,865,1426,497,366,2197,1394,465
fase-trainbenchmark-80_5.problem,256,760,1244,322,301,1485,1219,297
fase-trainbenchmark-80_6.problem,288,759,1578,732,333,1748,1422,574
fase-trainbenchmark-80_7.problem,313,1198,1274,452,321,1773,1242,420
fase-trainbenchmark-80_8.problem,289,724,1336,466,206,1491,1312,442
fase-trainbenchmark-80_9.problem,122,325,1385,518,131,572,1353,486
fase-trainbenchmark-90_1.problem,338,814,1480,447,338,1987,1453,420
fase-trainbenchmark-90_10.problem,307,804,1710,688,286,1500,1622,598
fase-trainbenchmark-90_11.problem,203,545,1597,516,309,1166,1549,468
fase-trainbenchmark-90_12.problem,217,723,1488,478,239,1501,1477,467
fase-trainbenchmark-90_13.problem,201,865,1486,475,275,1435,1433,422
fase-trainbenchmark-90_14.problem,315,994,1473,465,246,1468,1440,432
fase-trainbenchmark-90_15.problem,372,1362,1792,720,280,2111,1703,629
fase-trainbenchmark-90_16.problem,283,817,1517,453,279,1570,1466,402
fase-trainbenchmark-90_17.problem,228,995,1547,470,305,1532,1518,441
fase-trainbenchmark-90_18.problem,181,511,1868,845,205,914,1742,719
fase-trainbenchmark-90_19.problem,193,509,1589,514,194,1009,1561,486
fase-trainbenchmark-90_2.problem,179,483,1429,393,179,963,1406,370
fase-trainbenchmark-90_20.problem,213,572,1676,610,215,928,1630,564
fase-trainbenchmark-90_21.problem,295,889,1589,490,296,1521,1548,449
fase-trainbenchmark-90_22.problem,340,824,1645,615,333,1489,1569,537
fase-trainbenchmark-90_23.problem,370,1336,1603,557,308,1733,1590,544
fase-trainbenchmark-90_24.problem,290,780,1616,537,240,1427,1575,496
fase-trainbenchmark-90_25.problem,323,884,1843,683,320,1478,1788,628
fase-trainbenchmark-90_26.problem,163,458,1611,578,181,923,1563,530
fase-trainbenchmark-90_27.problem,255,603,1783,698,305,1071,1742,657
fase-trainbenchmark-90_28.problem,295,782,1592,600,278,1403,1580,588
fase-trainbenchmark-90_29.problem,220,542,1502,458,310,933,1491,447
fase-trainbenchmark-90_3.problem,315,598,1617,507,313,1547,1604,494
fase-trainbenchmark-90_30.problem,339,921,1480,426,299,1396,1455,401
fase-trainbenchmark-90_4.problem,250,831,1513,424,282,921,1458,369
fase-trainbenchmark-90_5.problem,340,870,1586,509,348,1444,1506,427
